*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Wed Mar 13 13:41:15 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |       143 |  5.23E-01 |  0.931029 |  0.931029 |     17.24 |     17.29 |  0.400758 |  0.528455 |  9.99E-03 |      1.00 | 
|         1 |       286 |  4.63E-01 |  0.940148 |  0.940148 |     21.05 |     21.22 |  0.343544 |  0.418327 |  9.97E-03 |      7.67 | 
|         1 |       429 |  4.88E-01 |  0.938858 |  0.940148 |     22.19 |     22.19 |  0.827987 |  0.495054 |  9.93E-03 |     14.67 | 
|         1 |       572 |  4.53E-01 |  0.938910 |  0.940148 |     22.67 |     22.51 |  0.482235 |  0.388571 |  9.88E-03 |     21.58 | 
|         1 |       715 |  4.15E-01 |  0.938154 |  0.940148 |     22.88 |     22.65 |  1.415463 |  0.765208 |  9.82E-03 |     28.56 | 
|         1 |       858 |  3.92E-01 |  0.947997 |  0.947997 |     23.11 |     22.83 |  0.639239 |  0.441062 |  9.74E-03 |     35.39 | 
|         1 |      1001 |  3.70E-01 |  0.947978 |  0.947997 |     23.65 |     23.25 |  2.844632 |  2.054138 |  9.65E-03 |     43.22 | 
|         1 |      1144 |  3.72E-01 |  0.950267 |  0.950267 |     25.30 |     24.98 |  3.116802 |  0.791319 |  9.54E-03 |     51.39 | 
|         1 |      1287 |  3.57E-01 |  0.948231 |  0.950267 |     27.27 |     27.03 |  5.363727 |  2.098469 |  9.42E-03 |     63.83 | 
|         1 |      1430 |  3.46E-01 |  0.946642 |  0.950267 |     27.66 |     27.30 |  1.671274 |  0.654626 |  9.29E-03 |     75.02 | 
|         1 |      1573 |  3.52E-01 |  0.946484 |  0.950267 |     27.80 |     27.46 |  1.854105 |  0.981348 |  9.15E-03 |     86.72 | 
|         1 |      1579 |  3.51E-01 |  0.942600 |  0.950267 |     27.78 |     27.45 |  1.310909 |  0.911714 |  9.14E-03 |     96.32 | 
|         2 |       143 |       INF |  0.928237 |  0.950267 |     23.04 |     13.69 |       nan |       nan |  8.98E-03 |     97.34 | 
-------------------------------------------------------------------------------------------------------------------------------------
