*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Wed Mar 13 11:47:13 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |       143 |  5.72E-01 |  0.927997 |  0.927997 |     16.71 |     16.73 |  1.648110 |  1.944967 |  9.99E-03 |      1.11 | 
|         1 |       286 |  5.22E-01 |  0.941975 |  0.941975 |     18.23 |     18.10 |  0.754197 |  0.708181 |  9.97E-03 |      7.64 | 
|         1 |       429 |  4.60E-01 |  0.942207 |  0.942207 |     17.98 |     17.91 |  2.241553 |  1.754926 |  9.93E-03 |     13.88 | 
|         1 |       572 |  4.54E-01 |  0.938777 |  0.942207 |     18.18 |     18.11 |  0.924038 |  0.429281 |  9.88E-03 |     20.40 | 
|         1 |       715 |  4.31E-01 |  0.947740 |  0.947740 |     18.90 |     18.86 |  0.459225 |  0.372301 |  9.82E-03 |     27.35 | 
|         1 |       858 |  4.34E-01 |  0.942162 |  0.947740 |     19.74 |     19.77 |  1.138693 |  1.582366 |  9.74E-03 |     34.81 | 
|         1 |      1001 |  4.23E-01 |  0.949267 |  0.949267 |     21.37 |     21.41 |  0.818449 |  0.637482 |  9.65E-03 |     43.62 | 
|         1 |      1144 |  4.08E-01 |  0.945770 |  0.949267 |     21.76 |     21.83 |  0.735008 |  0.430026 |  9.54E-03 |     50.91 | 
|         1 |      1287 |  3.82E-01 |  0.945845 |  0.949267 |     21.91 |     21.98 | 22.369907 |  6.898436 |  9.42E-03 |     58.13 | 
|         1 |      1430 |  3.73E-01 |  0.939914 |  0.949267 |     21.96 |     22.03 |  0.893870 |  1.117775 |  9.29E-03 |     65.32 | 
|         1 |      1573 |  3.58E-01 |  0.937607 |  0.949267 |     21.95 |     22.08 | 10.880401 |  1.160416 |  9.15E-03 |     72.74 | 
|         1 |      1579 |  3.57E-01 |  0.939147 |  0.949267 |     21.92 |     22.04 |  0.408566 |  0.479672 |  9.14E-03 |     78.51 | 
|         2 |       143 |  2.47E-01 |  0.925177 |  0.949267 |     19.78 |     20.19 | 17.881845 |  7.568576 |  8.98E-03 |     79.58 | 
|         2 |       286 |  2.58E-01 |  0.942136 |  0.949267 |     18.78 |     19.34 |  2.816868 |  0.631312 |  8.82E-03 |     85.45 | 
|         2 |       429 |  2.72E-01 |  0.945891 |  0.949267 |     19.11 |     19.59 |  0.620116 |  0.384453 |  8.64E-03 |     93.15 | 
|         2 |       572 |  2.99E-01 |  0.932682 |  0.949267 |     19.12 |     19.56 |  5.964763 |  1.586752 |  8.45E-03 |    100.64 | 
|         2 |       715 |       INF |  0.928237 |  0.949267 |     19.13 |     16.71 |       nan |       nan |  8.25E-03 |    107.52 | 
-------------------------------------------------------------------------------------------------------------------------------------
