*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Wed Mar 13 11:36:52 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |       143 |  6.01E-01 |  0.930865 |  0.930865 |     15.44 |     15.95 |  0.557541 |  0.573090 |  9.99E-03 |      0.95 | 
|         1 |       286 |  5.05E-01 |  0.942077 |  0.942077 |     16.25 |     16.34 |  0.505948 |  0.701782 |  9.97E-03 |      6.30 | 
|         1 |       429 |  4.52E-01 |  0.942083 |  0.942083 |     17.09 |     17.25 |  0.750264 |  0.513550 |  9.93E-03 |     11.60 | 
|         1 |       572 |  4.11E-01 |  0.947159 |  0.947159 |     18.72 |     19.18 |  0.896786 |  0.425651 |  9.88E-03 |     18.57 | 
|         1 |       715 |  3.99E-01 |  0.944787 |  0.947159 |     20.55 |     21.13 |  1.045312 |  0.480027 |  9.82E-03 |     25.78 | 
|         1 |       858 |  4.17E-01 |  0.938622 |  0.947159 |     21.26 |     21.85 |  6.707768 |  1.064512 |  9.74E-03 |     32.96 | 
|         1 |      1001 |  4.06E-01 |  0.939117 |  0.947159 |     23.20 |     23.75 |  0.909803 |  0.634706 |  9.65E-03 |     44.51 | 
|         1 |      1144 |  4.01E-01 |  0.940607 |  0.947159 |     25.96 |     26.43 |  2.023153 |  1.462440 |  9.54E-03 |     55.22 | 
|         1 |      1287 |  3.79E-01 |  0.931436 |  0.947159 |     28.43 |     28.82 |  2.067835 |  1.718287 |  9.42E-03 |     67.28 | 
|         1 |      1430 |  3.74E-01 |  0.944415 |  0.947159 |     30.04 |     30.37 | 12.239241 |  6.408546 |  9.29E-03 |     77.56 | 
|         1 |      1573 |       INF |  0.928237 |  0.947159 |     29.66 |     28.97 |       nan |       nan |  9.15E-03 |     87.23 | 
-------------------------------------------------------------------------------------------------------------------------------------
