*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Wed Mar 13 14:27:54 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |       143 |  6.10E-01 |  0.928844 |  0.928844 |     22.01 |     21.90 |  0.665682 |  1.175786 |  9.99E-03 |      1.14 | 
|         1 |       286 |  5.30E-01 |  0.936591 |  0.936591 |     22.45 |     21.87 |  0.887647 |  0.673446 |  9.97E-03 |      8.70 | 
|         1 |       429 |  4.90E-01 |  0.939743 |  0.939743 |     22.01 |     21.39 |  0.878442 |  0.822842 |  9.93E-03 |     15.98 | 
|         1 |       572 |  4.67E-01 |  0.936837 |  0.939743 |     21.93 |     21.17 |  0.699035 |  0.625556 |  9.88E-03 |     22.68 | 
|         1 |       715 |  4.31E-01 |  0.943679 |  0.943679 |     22.16 |     21.02 |  1.605949 |  1.291089 |  9.82E-03 |     29.85 | 
|         1 |       858 |  4.14E-01 |  0.938618 |  0.943679 |     21.93 |     20.67 |  0.782837 |  0.636086 |  9.74E-03 |     36.68 | 
|         1 |      1001 |  4.30E-01 |  0.938107 |  0.943679 |     22.00 |     20.58 |  0.573599 |  0.394852 |  9.65E-03 |     43.67 | 
|         1 |      1144 |  4.33E-01 |  0.939769 |  0.943679 |     21.89 |     20.42 | 14.704369 |  4.837446 |  9.54E-03 |     50.68 | 
|         1 |      1287 |  4.22E-01 |  0.931540 |  0.943679 |     21.84 |     20.45 |  1.926856 |  0.964543 |  9.42E-03 |     57.62 | 
|         1 |      1430 |  4.09E-01 |  0.934797 |  0.943679 |     22.03 |     20.73 |  0.774829 |  0.428207 |  9.29E-03 |     65.11 | 
|         1 |      1573 |  4.02E-01 |  0.939575 |  0.943679 |     22.27 |     21.01 |  1.458843 |  0.959885 |  9.15E-03 |     72.59 | 
|         1 |      1579 |  4.03E-01 |  0.931789 |  0.943679 |     22.31 |     21.04 |  1.264756 |  2.609608 |  9.14E-03 |     79.54 | 
|         2 |       143 |  2.94E-01 |  0.934870 |  0.943679 |     29.94 |     29.34 |  3.545717 |  1.260200 |  8.98E-03 |     80.88 | 
|         2 |       286 |  3.08E-01 |  0.941602 |  0.943679 |     28.99 |     28.05 |  4.146661 |  2.720275 |  8.82E-03 |     89.28 | 
|         2 |       429 |  3.36E-01 |  0.932870 |  0.943679 |     32.70 |     31.51 |  1.752993 |  2.124545 |  8.64E-03 |     97.62 | 
|         2 |       572 |       INF |  0.928237 |  0.943679 |     35.49 |     30.18 |       nan |  0.566096 |  8.45E-03 |    109.49 | 
-------------------------------------------------------------------------------------------------------------------------------------
