*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Wed Mar 13 14:30:12 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |       143 |  5.84E-01 |  0.933500 |  0.933500 |     19.74 |     19.31 |  0.958391 |  0.977789 |  9.99E-03 |      1.07 | 
|         1 |       286 |  4.89E-01 |  0.934716 |  0.934716 |     19.21 |     18.49 |  0.755231 |  0.518259 |  9.97E-03 |      7.12 | 
|         1 |       429 |  4.73E-01 |  0.939264 |  0.939264 |     18.90 |     18.18 |  0.678867 |  0.562519 |  9.93E-03 |     13.20 | 
|         1 |       572 |  4.36E-01 |  0.924479 |  0.939264 |     18.90 |     18.21 |  1.015366 |  0.744537 |  9.88E-03 |     19.27 | 
|         1 |       715 |  4.37E-01 |  0.938368 |  0.939264 |     19.48 |     18.85 |  5.226828 |  3.134963 |  9.82E-03 |     26.10 | 
|         1 |       858 |  4.56E-01 |  0.935808 |  0.939264 |     19.58 |     18.90 |  0.731115 |  0.888815 |  9.74E-03 |     32.98 | 
|         1 |      1001 |  4.32E-01 |  0.931192 |  0.939264 |     19.69 |     18.94 |  0.723884 |  0.531723 |  9.65E-03 |     39.96 | 
|         1 |      1144 |  4.30E-01 |  0.938069 |  0.939264 |     19.93 |     19.15 |  3.349125 |  0.810191 |  9.54E-03 |     46.48 | 
|         1 |      1287 |  4.34E-01 |  0.934540 |  0.939264 |     20.29 |     19.58 |  0.904631 |  0.678194 |  9.42E-03 |     54.10 | 
|         1 |      1430 |  4.20E-01 |  0.939406 |  0.939406 |     21.18 |     20.47 |  1.242169 |  1.005980 |  9.29E-03 |     61.54 | 
|         1 |      1573 |       INF |  0.928237 |  0.939406 |     21.83 |     19.70 |       nan |       nan |  9.15E-03 |     73.81 | 
-------------------------------------------------------------------------------------------------------------------------------------
