*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Wed Mar 13 14:16:27 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |       143 |  5.81E-01 |  0.933181 |  0.933181 |     20.34 |     20.34 |  0.492537 |  0.564384 |  9.99E-03 |      1.10 | 
|         1 |       286 |  5.29E-01 |  0.929445 |  0.933181 |     20.63 |     20.21 |  0.650739 |  0.410056 |  9.97E-03 |      7.32 | 
|         1 |       429 |  5.53E-01 |  0.938557 |  0.938557 |     20.31 |     20.00 |  0.619467 |  0.452523 |  9.93E-03 |     13.80 | 
|         1 |       572 |  5.23E-01 |  0.936203 |  0.938557 |     20.26 |     20.18 |  1.191398 |  0.737669 |  9.88E-03 |     20.17 | 
|         1 |       715 |  4.87E-01 |  0.912269 |  0.938557 |     20.32 |     20.10 |  4.584923 |  0.871532 |  9.82E-03 |     26.52 | 
|         1 |       858 |  4.64E-01 |  0.937977 |  0.938557 |     20.24 |     19.90 |  0.778568 |  0.614187 |  9.74E-03 |     33.55 | 
|         1 |      1001 |  4.45E-01 |  0.937322 |  0.938557 |     20.32 |     20.01 |  2.174497 |  1.672065 |  9.65E-03 |     40.24 | 
|         1 |      1144 |  4.42E-01 |  0.937435 |  0.938557 |     20.58 |     20.28 |  0.952156 |  0.699773 |  9.54E-03 |     48.39 | 
|         1 |      1287 |  4.23E-01 |  0.937789 |  0.938557 |     20.55 |     20.26 |  0.615706 |  0.472805 |  9.42E-03 |     56.29 | 
|         1 |      1430 |  4.10E-01 |  0.933960 |  0.938557 |     20.58 |     20.28 |  7.764732 |  1.722117 |  9.29E-03 |     65.21 | 
|         1 |      1573 |  4.16E-01 |  0.938760 |  0.938760 |     21.08 |     20.87 |  1.578239 |  1.197788 |  9.15E-03 |     72.77 | 
|         1 |      1579 |  4.15E-01 |  0.938544 |  0.938760 |     21.08 |     20.89 |  5.743356 |  1.510768 |  9.14E-03 |     80.07 | 
|         2 |       143 |  3.77E-01 |  0.938287 |  0.938760 |     29.36 |     29.67 |  0.543062 |  0.775975 |  8.98E-03 |     81.41 | 
|         2 |       286 |  3.27E-01 |  0.942246 |  0.942246 |     30.01 |     30.81 |  7.771313 |  5.261522 |  8.82E-03 |     90.50 | 
|         2 |       429 |  3.06E-01 |  0.941091 |  0.942246 |     29.14 |     29.77 |  0.541737 |  0.363595 |  8.64E-03 |     99.56 | 
|         2 |       572 |  3.08E-01 |  0.945355 |  0.945355 |     32.90 |     33.36 |  0.656278 |  0.936430 |  8.45E-03 |    110.62 | 
|         2 |       715 |  3.09E-01 |  0.942713 |  0.945355 |     35.40 |     35.67 |  1.835239 |  1.231484 |  8.25E-03 |    123.17 | 
|         2 |       858 |       INF |  0.928237 |  0.945355 |     33.37 |     32.35 |717523611811840.000000 |  0.972832 |  8.05E-03 |    135.10 | 
-------------------------------------------------------------------------------------------------------------------------------------
