*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Wed Mar 13 14:25:56 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |       143 |  5.20E-01 |  0.931926 |  0.931926 |     20.07 |     19.79 |  0.434080 |  0.516635 |  9.99E-03 |      1.07 | 
|         1 |       286 |  4.54E-01 |  0.937580 |  0.937580 |     20.81 |     20.17 |  0.279842 |  0.276568 |  9.97E-03 |      7.46 | 
|         1 |       429 |  4.53E-01 |  0.938631 |  0.938631 |     20.46 |     19.81 |  0.539813 |  0.326084 |  9.93E-03 |     13.94 | 
|         1 |       572 |  4.63E-01 |  0.937246 |  0.938631 |     20.23 |     19.63 |  2.393250 |  0.513961 |  9.88E-03 |     20.11 | 
|         1 |       715 |  4.46E-01 |  0.933966 |  0.938631 |     20.01 |     19.43 |  0.861796 |  0.475306 |  9.82E-03 |     26.23 | 
|         1 |       858 |  4.43E-01 |  0.934836 |  0.938631 |     19.90 |     19.24 |  1.613690 |  1.256311 |  9.74E-03 |     32.19 | 
|         1 |      1001 |  4.38E-01 |  0.929301 |  0.938631 |     19.98 |     19.37 |  0.990023 |  0.694638 |  9.65E-03 |     38.20 | 
|         1 |      1144 |  4.29E-01 |  0.911857 |  0.938631 |     20.17 |     19.59 |  8.724892 |  2.971579 |  9.54E-03 |     44.92 | 
|         1 |      1287 |  4.33E-01 |  0.932679 |  0.938631 |     20.27 |     19.69 |  0.700992 |  0.426425 |  9.42E-03 |     51.68 | 
|         1 |      1430 |  4.31E-01 |  0.934509 |  0.938631 |     20.38 |     19.75 |  1.721911 |  1.159921 |  9.29E-03 |     58.69 | 
|         1 |      1573 |  4.24E-01 |  0.948845 |  0.948845 |     20.34 |     19.75 |  4.667856 |  1.153545 |  9.15E-03 |     65.15 | 
|         1 |      1579 |  4.24E-01 |  0.952477 |  0.952477 |     20.34 |     19.75 |  0.806667 |  0.556249 |  9.14E-03 |     70.71 | 
|         2 |       143 |  5.05E-01 |  0.918382 |  0.952477 |     26.78 |     27.22 |  1.381637 |  0.919598 |  8.98E-03 |     71.97 | 
|         2 |       286 |  5.14E-01 |  0.943248 |  0.952477 |     25.93 |     26.04 |  0.751114 |  3.634410 |  8.82E-03 |     82.68 | 
|         2 |       429 |       INF |  0.928237 |  0.952477 |     28.48 |     22.75 |       nan |  0.441601 |  8.64E-03 |     92.65 | 
-------------------------------------------------------------------------------------------------------------------------------------
